fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality;type_Red;type_White
6.8;0.37;0.28;1.9;0.024;64.0;106.0;0.98993;3.45;0.6;12.6;8;0;1
5.0;0.17;0.56;1.5;0.026000000000000002;24.0;115.0;0.9906;3.48;0.39;10.8;7;0;1
5.9;0.12;0.28;1.4;0.037000000000000005;36.0;83.0;0.99074;3.33;0.42;10.9;7;0;1
6.0;0.2;0.26;6.8;0.049;22.0;93.0;0.9928;3.15;0.42;11.0;6;0;1
5.7;0.33;0.32;1.4;0.043;28.0;93.0;0.9897;3.31;0.5;12.3;6;0;1
10.5;0.24;0.42;1.8;0.077;6.0;22.0;0.9976;3.21;1.05;10.8;7;1;0
5.8;0.14;0.15;6.1;0.042;27.0;123.0;0.9936200000000001;3.06;0.6;9.9;6;0;1
6.5;0.22;0.32;2.2;0.027999999999999997;36.0;92.0;0.9907600000000001;3.27;0.59;11.9;7;0;1
6.7;0.21;0.49;1.4;0.047;30.0;114.0;0.9914;2.92;0.42;10.8;7;0;1
6.7;0.44;0.31;1.9;0.03;41.0;104.0;0.99;3.29;0.62;12.6;7;0;1
6.8;0.22;0.36;1.2;0.052000000000000005;38.0;127.0;0.9933;3.04;0.54;9.2;5;0;1
6.9;0.19;0.39;8.0;0.027999999999999997;22.0;84.0;0.9940000000000001;3.11;0.66;10.8;6;0;1
10.1;0.27;0.54;2.3;0.065;7.0;26.0;0.99531;3.17;0.53;12.5;6;1;0
6.8;0.36;0.32;1.6;0.039;10.0;124.0;0.9948;3.3;0.67;9.6;5;0;1
7.2;0.3;0.26;1.5;0.040999999999999995;46.0;178.0;0.99154;3.19;0.56;11.3;6;0;1
7.1;0.33;0.18;6.3;0.094;27.0;166.0;0.99474;2.9;0.49;9.5;5;0;1
6.2;0.21;0.18;11.6;0.044000000000000004;61.0;155.0;0.99655;3.14;0.52;9.4;6;0;1
7.9;0.545;0.06;4.0;0.087;27.0;61.0;0.9965;3.36;0.67;10.7;6;1;0
6.7;0.28;0.34;8.9;0.048;32.0;111.0;0.99455;3.25;0.54;11.0;7;0;1
6.6;0.5;0.04;2.1;0.068;6.0;14.0;0.9955;3.39;0.64;9.4;6;1;0
6.4;0.69;0.09;7.6;0.044000000000000004;34.0;144.0;0.9948;3.26;0.38;10.1;6;0;1
7.2;0.41;0.3;2.1;0.083;35.0;72.0;0.997;3.44;0.52;9.4;5;1;0
6.5;0.33;0.28;6.1;0.018000000000000002;41.0;103.0;0.9912200000000001;3.24;0.32;12.2;6;0;1
7.7;0.75;0.27;3.8;0.11;34.0;89.0;0.99664;3.24;0.45;9.3;5;1;0
5.6;0.2;0.66;10.2;0.043;78.0;175.0;0.9945;2.98;0.43;10.4;7;0;1
