tecnica;mean_absolute_error;mean_squared_error;mean_squared_log_error;median_absolute_error;identificador_aleatorio;tipo_split;normalizador;redutor_dimensionalidade;pipeline;parametros;random_state_split;random_state_random_search;cross_validation_random_search;best_estimator;best_params
RandomForestRegressor;0.4096774193548387;0.4806451612903226;0.010733609551431886;0.0;4595006;train_test_split 30%;Não utilizado;Não utilizado;"[('RandomForestRegressor', RandomForestRegressor(bootstrap=True, criterion='mse', max_depth=None,
                      max_features='auto', max_leaf_nodes=None,
                      min_impurity_decrease=0.0, min_impurity_split=None,
                      min_samples_leaf=1, min_samples_split=2,
                      min_weight_fraction_leaf=0.0, n_estimators='warn',
                      n_jobs=None, oob_score=False, random_state=None,
                      verbose=0, warm_start=False))]";{'RandomForestRegressor__n_estimators': [5, 10, 15], 'RandomForestRegressor__criterion': ('mse', 'mae'), 'RandomForestRegressor__max_features': ('auto', 'sqrt', 'log2'), 'RandomForestRegressor__bootstrap': [True, False], 'RandomForestRegressor__warm_start': [True, False]};2;31;8;"Pipeline(memory=None,
         steps=[('RandomForestRegressor',
                 RandomForestRegressor(bootstrap=True, criterion='mae',
                                       max_depth=None, max_features='auto',
                                       max_leaf_nodes=None,
                                       min_impurity_decrease=0.0,
                                       min_impurity_split=None,
                                       min_samples_leaf=1, min_samples_split=2,
                                       min_weight_fraction_leaf=0.0,
                                       n_estimators=15, n_jobs=None,
                                       oob_score=False, random_state=None,
                                       verbose=0, warm_start=True))],
         verbose=False)";{'RandomForestRegressor__warm_start': True, 'RandomForestRegressor__n_estimators': 15, 'RandomForestRegressor__max_features': 'auto', 'RandomForestRegressor__criterion': 'mae', 'RandomForestRegressor__bootstrap': True}
ExtraTreesRegressor;0.3870967741935484;0.4490322580645161;0.010144925794349221;0.0;5568907;train_test_split 30%;Não utilizado;Não utilizado;"[('ExtraTreesRegressor', ExtraTreesRegressor(bootstrap=False, criterion='mse', max_depth=None,
                    max_features='auto', max_leaf_nodes=None,
                    min_impurity_decrease=0.0, min_impurity_split=None,
                    min_samples_leaf=1, min_samples_split=2,
                    min_weight_fraction_leaf=0.0, n_estimators='warn',
                    n_jobs=None, oob_score=False, random_state=None, verbose=0,
                    warm_start=False))]";{'ExtraTreesRegressor__n_estimators': [5, 10, 15], 'ExtraTreesRegressor__criterion': ('mse', 'mae'), 'ExtraTreesRegressor__max_features': ('auto', 'sqrt', 'log2'), 'ExtraTreesRegressor__bootstrap': [True, False], 'ExtraTreesRegressor__warm_start': [True, False]};2;8;5;"Pipeline(memory=None,
         steps=[('ExtraTreesRegressor',
                 ExtraTreesRegressor(bootstrap=False, criterion='mae',
                                     max_depth=None, max_features='auto',
                                     max_leaf_nodes=None,
                                     min_impurity_decrease=0.0,
                                     min_impurity_split=None,
                                     min_samples_leaf=1, min_samples_split=2,
                                     min_weight_fraction_leaf=0.0,
                                     n_estimators=10, n_jobs=None,
                                     oob_score=False, random_state=None,
                                     verbose=0, warm_start=False))],
         verbose=False)";{'ExtraTreesRegressor__warm_start': False, 'ExtraTreesRegressor__n_estimators': 10, 'ExtraTreesRegressor__max_features': 'auto', 'ExtraTreesRegressor__criterion': 'mae', 'ExtraTreesRegressor__bootstrap': False}
BaggingRegressor;0.41935483870967744;0.4993548387096774;0.011263678160135087;0.0;159770;train_test_split 30%;Não utilizado;Não utilizado;"[('BaggingRegressor', BaggingRegressor(base_estimator=None, bootstrap=True, bootstrap_features=False,
                 max_features=1.0, max_samples=1.0, n_estimators=10,
                 n_jobs=None, oob_score=False, random_state=None, verbose=0,
                 warm_start=False))]";{'BaggingRegressor__n_estimators': [5, 10, 15], 'BaggingRegressor__bootstrap': [True, False], 'BaggingRegressor__warm_start': [True, False]};2;28;10;"Pipeline(memory=None,
         steps=[('BaggingRegressor',
                 BaggingRegressor(base_estimator=None, bootstrap=True,
                                  bootstrap_features=False, max_features=1.0,
                                  max_samples=1.0, n_estimators=10, n_jobs=None,
                                  oob_score=False, random_state=None, verbose=0,
                                  warm_start=True))],
         verbose=False)";{'BaggingRegressor__warm_start': True, 'BaggingRegressor__n_estimators': 10, 'BaggingRegressor__bootstrap': True}
GradientBoostingRegressor;0.4948387096774193;0.5916129032258064;0.013090422361333277;0.0;1632255;train_test_split 30%;Não utilizado;Não utilizado;"[('GradientBoostingRegressor', GradientBoostingRegressor(alpha=0.9, criterion='friedman_mse', init=None,
                          learning_rate=0.1, loss='ls', max_depth=3,
                          max_features=None, max_leaf_nodes=None,
                          min_impurity_decrease=0.0, min_impurity_split=None,
                          min_samples_leaf=1, min_samples_split=2,
                          min_weight_fraction_leaf=0.0, n_estimators=100,
                          n_iter_no_change=None, presort='auto',
                          random_state=None, subsample=1.0, tol=0.0001,
                          validation_fraction=0.1, verbose=0, warm_start=False))]";{'GradientBoostingRegressor__loss': ('ls', 'lad', 'huber', 'quantile'), 'GradientBoostingRegressor__criterion': ('friedman_mse', 'mse', 'mae'), 'GradientBoostingRegressor__max_features': ('auto', 'sqrt', 'log2'), 'GradientBoostingRegressor__n_estimators': [50, 100, 150], 'GradientBoostingRegressor__warm_start': [True, False]};2;29;4;"Pipeline(memory=None,
         steps=[('GradientBoostingRegressor',
                 GradientBoostingRegressor(alpha=0.9, criterion='mse',
                                           init=None, learning_rate=0.1,
                                           loss='lad', max_depth=3,
                                           max_features='auto',
                                           max_leaf_nodes=None,
                                           min_impurity_decrease=0.0,
                                           min_impurity_split=None,
                                           min_samples_leaf=1,
                                           min_samples_split=2,
                                           min_weight_fraction_leaf=0.0,
                                           n_estimators=100,
                                           n_iter_no_change=None,
                                           presort='auto', random_state=None,
                                           subsample=1.0, tol=0.0001,
                                           validation_fraction=0.1, verbose=0,
                                           warm_start=False))],
         verbose=False)";{'GradientBoostingRegressor__warm_start': False, 'GradientBoostingRegressor__n_estimators': 100, 'GradientBoostingRegressor__max_features': 'auto', 'GradientBoostingRegressor__loss': 'lad', 'GradientBoostingRegressor__criterion': 'mse'}
AdaBoostRegressor;0.5219354838709678;0.62;0.013604021506877244;0.0;2025002;train_test_split 30%;Não utilizado;Não utilizado;"[('AdaBoostRegressor', AdaBoostRegressor(base_estimator=None, learning_rate=1.0, loss='linear',
                  n_estimators=50, random_state=None))]";{'AdaBoostRegressor__loss': ('linear', 'square', 'exponential'), 'AdaBoostRegressor__n_estimators': [25, 50, 75]};2;1;10;"Pipeline(memory=None,
         steps=[('AdaBoostRegressor',
                 AdaBoostRegressor(base_estimator=None, learning_rate=1.0,
                                   loss='exponential', n_estimators=25,
                                   random_state=None))],
         verbose=False)";{'AdaBoostRegressor__n_estimators': 25, 'AdaBoostRegressor__loss': 'exponential'}
HuberRegressor;0.5174193548387097;0.6232258064516129;0.01386008599223382;0.0;714201;train_test_split 30%;Não utilizado;Não utilizado;"[('HuberRegressor', HuberRegressor(alpha=0.0001, epsilon=1.35, fit_intercept=True, max_iter=100,
               tol=1e-05, warm_start=False))]";{'HuberRegressor__max_iter': [50, 100, 150], 'HuberRegressor__warm_start': [True, False]};2;16;3;"Pipeline(memory=None,
         steps=[('HuberRegressor',
                 HuberRegressor(alpha=0.0001, epsilon=1.35, fit_intercept=True,
                                max_iter=150, tol=1e-05, warm_start=True))],
         verbose=False)";{'HuberRegressor__warm_start': True, 'HuberRegressor__max_iter': 150}
LinearRegression;0.4961290322580645;0.5774193548387097;0.012838074713307607;0.0;5596639;train_test_split 30%;Não utilizado;Não utilizado;[('LinearRegression', LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False))];{'LinearRegression__fit_intercept': [True, False], 'LinearRegression__normalize': [True, False]};2;14;6;"Pipeline(memory=None,
         steps=[('LinearRegression',
                 LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None,
                                  normalize=False))],
         verbose=False)";{'LinearRegression__normalize': False, 'LinearRegression__fit_intercept': True}
PassiveAggressiveRegressor;0.6187096774193548;0.8174193548387096;0.018127034188459783;1.0;8569594;train_test_split 30%;Não utilizado;Não utilizado;"[('PassiveAggressiveRegressor', PassiveAggressiveRegressor(C=1.0, average=False, early_stopping=False,
                           epsilon=0.1, fit_intercept=True,
                           loss='epsilon_insensitive', max_iter=1000,
                           n_iter_no_change=5, random_state=None, shuffle=True,
                           tol=0.001, validation_fraction=0.1, verbose=0,
                           warm_start=False))]";{'PassiveAggressiveRegressor__max_iter': [500, 1000, 1500], 'PassiveAggressiveRegressor__fit_intercept': [True, False], 'PassiveAggressiveRegressor__early_stopping': [True, False], 'PassiveAggressiveRegressor__shuffle': [True, False], 'PassiveAggressiveRegressor__warm_start': [True, False]};2;42;9;"Pipeline(memory=None,
         steps=[('PassiveAggressiveRegressor',
                 PassiveAggressiveRegressor(C=1.0, average=False,
                                            early_stopping=False, epsilon=0.1,
                                            fit_intercept=False,
                                            loss='epsilon_insensitive',
                                            max_iter=1000, n_iter_no_change=5,
                                            random_state=None, shuffle=False,
                                            tol=0.001, validation_fraction=0.1,
                                            verbose=0, warm_start=False))],
         verbose=False)";{'PassiveAggressiveRegressor__warm_start': False, 'PassiveAggressiveRegressor__shuffle': False, 'PassiveAggressiveRegressor__max_iter': 1000, 'PassiveAggressiveRegressor__fit_intercept': False, 'PassiveAggressiveRegressor__early_stopping': False}
SGDRegressor;3.810967741935484;15.711612903225806;0.24475975640890005;4.0;5154729;train_test_split 30%;Não utilizado;Não utilizado;"[('SGDRegressor', SGDRegressor(alpha=0.0001, average=False, early_stopping=False, epsilon=0.1,
             eta0=0.01, fit_intercept=True, l1_ratio=0.15,
             learning_rate='invscaling', loss='squared_loss', max_iter=1000,
             n_iter_no_change=5, penalty='l2', power_t=0.25, random_state=None,
             shuffle=True, tol=0.001, validation_fraction=0.1, verbose=0,
             warm_start=False))]";{'SGDRegressor__loss': ('squared_loss', 'huber', 'epsilon_insensitive', 'squared_epsilon_insensitive'), 'SGDRegressor__penalty': ('l1', 'l2', 'elasticnet', None), 'SGDRegressor__max_iter': [500, 1000, 1500], 'SGDRegressor__shuffle': [True, False], 'SGDRegressor__warm_start': [True, False], 'SGDRegressor__learning_rate': ('constant', 'optimal', 'invscaling', 'adaptive'), 'SGDRegressor__early_stopping': [True, False]};2;5;8;"Pipeline(memory=None,
         steps=[('SGDRegressor',
                 SGDRegressor(alpha=0.0001, average=False, early_stopping=False,
                              epsilon=0.1, eta0=0.01, fit_intercept=True,
                              l1_ratio=0.15, learning_rate='constant',
                              loss='epsilon_insensitive', max_iter=500,
                              n_iter_no_change=5, penalty='l1', power_t=0.25,
                              random_state=None, shuffle=False, tol=0.001,
                              validation_fraction=0.1, verbose=0,
                              warm_start=False))],
         verbose=False)";{'SGDRegressor__warm_start': False, 'SGDRegressor__shuffle': False, 'SGDRegressor__penalty': 'l1', 'SGDRegressor__max_iter': 500, 'SGDRegressor__loss': 'epsilon_insensitive', 'SGDRegressor__learning_rate': 'constant', 'SGDRegressor__early_stopping': False}
TheilSenRegressor;0.7335483870967742;1.4174193548387095;0.09359323726402803;1.0;4742567;train_test_split 30%;Não utilizado;Não utilizado;"[('TheilSenRegressor', TheilSenRegressor(copy_X=True, fit_intercept=True, max_iter=300,
                  max_subpopulation=10000, n_jobs=None, n_subsamples=None,
                  random_state=None, tol=0.001, verbose=False))]";{'TheilSenRegressor__fit_intercept': [True, False], 'TheilSenRegressor__max_iter': [150, 300, 450]};2;27;9;"Pipeline(memory=None,
         steps=[('TheilSenRegressor',
                 TheilSenRegressor(copy_X=True, fit_intercept=False,
                                   max_iter=300, max_subpopulation=10000,
                                   n_jobs=None, n_subsamples=None,
                                   random_state=None, tol=0.001,
                                   verbose=False))],
         verbose=False)";{'TheilSenRegressor__max_iter': 300, 'TheilSenRegressor__fit_intercept': False}
