tecnica;mean_absolute_error;mean_squared_error;mean_squared_log_error;median_absolute_error;identificador_aleatorio
SGDRegressor;0.5735294117647058;0.6787925696594427;0.014679747334974078;1.0;1029309
PassiveAggressiveRegressor;0.8831269349845201;1.4140866873065014;0.029958365678335326;1.0;1047690
RadiusNeighborsRegressor;0.6323529411764706;0.8397832817337462;0.028173119961684288;1.0;1048406
TheilSenRegressor;0.5503095975232198;0.6695046439628483;0.014595794622732909;0.0;1064270
AdaBoostRegressor;0.5;0.6006191950464397;0.013004793555578958;0.0;1071468
KNeighborsRegressor;0.4798761609907121;0.6253869969040248;0.013785898672118331;0.0;1108171
TheilSenRegressor;0.6044891640866873;1.290247678018576;0.08870164588170558;0.0;1109023
KNeighborsRegressor;0.4705882352941176;0.5789473684210527;0.012805333288056877;0.0;112302
GradientBoostingRegressor;0.5998452012383901;0.7407120743034056;0.016185409292528184;1.0;1142980
ExtraTreeRegressor;0.5843653250773994;0.9063467492260062;0.02049058685357822;0.0;1154630
LinearRegression;5.694272445820434;33.0719814241486;3.3110418219243725;6.0;1251971
RadiusNeighborsRegressor;1.3792569659442724;6.756965944272448;0.7030288660821246;0.0;134858
MLPRegressor;0.5030959752321982;0.6068111455108359;0.013049735448408156;0.0;137663
RandomForestRegressor;0.4102167182662539;0.5015479876160991;0.010948898060831644;0.0;1378692
BaggingRegressor;0.3792569659442725;0.4613003095975232;0.010157818772079635;0.0;144068
SGDRegressor;0.6215170278637769;0.7515479876160991;0.01661525369576455;1.0;1451001
ExtraTreesRegressor;0.3521671826625387;0.42027863777089786;0.009264155153460841;0.0;1464304
LinearRegression;0.6153250773993808;0.7654798761609907;0.016791875032040358;1.0;1481916
TheilSenRegressor;0.6385448916408669;1.013157894736842;0.04831032358917503;1.0;1523031
SGDRegressor;0.9249226006191952;1.4558823529411764;0.029306343826449525;1.0;152986
BaggingRegressor;0.3955108359133127;0.4821981424148607;0.010611107525221788;0.0;159770
RadiusNeighborsRegressor;4.380804953560372;26.11300309597523;2.7516440079687507;5.0;1607207
RadiusNeighborsRegressor;1.4404024767801855;6.739164086687308;0.6990521195241189;1.0;1623357
GradientBoostingRegressor;0.4868421052631579;0.5797213622291022;0.012593557098373712;0.0;1632255
SGDRegressor;0.4930340557275542;0.5874613003095975;0.012627077646603969;0.0;1646355
TheilSenRegressor;2.653250773993808;11.308049535603715;0.9082124540458448;2.0;1666114
GradientBoostingRegressor;0.4504643962848297;0.5139318885448917;0.011315509459652843;0.0;1674436
TheilSenRegressor;0.7538699690402477;1.7043343653250769;0.11047592907620044;1.0;1777544
MLPRegressor;0.5208978328173375;0.6277089783281734;0.013566297310842869;0.0;1940141
ExtraTreeRegressor;0.5108359133126935;0.7198142414860681;0.015962217383278306;0.0;1953763
ExtraTreesRegressor;0.43034055727554177;0.5232198142414861;0.011411253077178388;0.0;1977346
AdaBoostRegressor;0.5193498452012384;0.618421052631579;0.013349429935124585;0.0;2025002
RandomForestRegressor;0.4055727554179567;0.4938080495356037;0.01080116870998464;0.0;203118
ExtraTreesRegressor;0.3808049535603715;0.4551083591331269;0.00994675836433501;0.0;2040868
RandomForestRegressor;0.3784829721362229;0.4419504643962848;0.009733655040080431;0.0;2043085
TheilSenRegressor;0.5123839009287926;0.6578947368421053;0.013748916191700334;0.0;2064731
HuberRegressor;0.5;0.5928792569659442;0.012762872772603837;0.0;2065012
AdaBoostRegressor;0.5170278637770898;0.6052631578947368;0.013220874775361205;0.0;2118540
SGDRegressor;0.5603715170278638;0.6873065015479877;0.014728808733995043;0.5;2139426
AdaBoostRegressor;0.5394736842105263;0.6308049535603715;0.0137432338654249;0.0;2239097
HuberRegressor;0.488390092879257;0.5874613003095975;0.012631582313134724;0.0;2250723
GradientBoostingRegressor;0.5054179566563467;0.5921052631578947;0.012911178443015446;0.0;2260722
SGDRegressor;1.045665634674923;1.7407120743034057;0.034765317392284244;1.0;2298216
AdaBoostRegressor;0.5116099071207431;0.618421052631579;0.013381949853613928;0.0;2310492
SGDRegressor;0.5162538699690402;0.6199690402476781;0.013365111342526695;0.0;238551
GradientBoostingRegressor;0.4380804953560372;0.5030959752321982;0.010938594986854993;0.0;2443616
ExtraTreesRegressor;0.3707430340557276;0.4465944272445821;0.00982874674955759;0.0;244511
ExtraTreeRegressor;0.5534055727554179;0.8335913312693498;0.018935301287238342;0.0;2463101
MLPRegressor;0.5069659442724458;0.5967492260061921;0.012821506669640556;0.0;2468773
HuberRegressor;0.4984520123839009;0.5944272445820433;0.012775644075712808;0.0;248956
KNeighborsRegressor;0.4729102167182663;0.5626934984520123;0.01225286102962593;0.0;2493690
PassiveAggressiveRegressor;0.6261609907120743;0.7871517027863777;0.017053761982193202;1.0;2526084
AdaBoostRegressor;0.5286377708978328;0.6137770897832817;0.013342561919424829;0.0;2587385
LinearRegression;0.4992260061919505;0.5874613003095975;0.012651634968351744;0.0;2592432
RadiusNeighborsRegressor;0.4791021671826625;0.6958204334365325;0.02654887943890029;0.0;2611801
HuberRegressor;0.4945820433436533;0.5936532507739938;0.012757825849311859;0.0;2612618
ExtraTreesRegressor;0.3970588235294117;0.4791021671826625;0.010492821841728943;0.0;2621803
RadiusNeighborsRegressor;3.9651702786377694;23.54256965944273;2.475448254276196;5.0;2638985
RandomForestRegressor;0.3645510835913313;0.4388544891640867;0.009731667170177384;0.0;2670152
MLPRegressor;0.5503095975232198;0.6679566563467493;0.014267663795034453;0.0;2709653
KNeighborsRegressor;0.4164086687306501;0.5185758513931888;0.0114234242425408;0.0;2775678
TheilSenRegressor;0.5007739938080495;0.5905572755417957;0.012671132314508131;0.0;2928227
GradientBoostingRegressor;0.5301857585139319;0.6261609907120743;0.013526503228686692;0.0;295707
LinearRegression;0.5038699690402477;0.5921052631578947;0.0127298485888026;0.0;2987767
MLPRegressor;0.5023219814241486;0.6075851393188855;0.013197466708912527;0.0;3013685
ExtraTreesRegressor;0.3908668730650155;0.4605263157894737;0.010045686623130452;0.0;3129928
TheilSenRegressor;0.5990712074303406;1.2755417956656347;0.08845513156285717;0.0;3151135
LinearRegression;0.5038699690402477;0.5921052631578947;0.0127298485888026;0.0;3167946
PassiveAggressiveRegressor;0.8746130030959752;1.4009287925696594;0.030387091470866524;1.0;3172771
HuberRegressor;0.5116099071207431;0.6261609907120743;0.013578414850348823;0.0;3217289
KNeighborsRegressor;0.3691950464396285;0.4388544891640867;0.009687860919399409;0.0;3238502
SGDRegressor;0.5208978328173375;0.6571207430340558;0.014297803131241009;0.0;3249011
AdaBoostRegressor;0.4868421052631579;0.5673374613003096;0.012291635676873441;0.0;3314849
GradientBoostingRegressor;0.4705882352941176;0.5557275541795665;0.011964174471054951;0.0;3324766
RandomForestRegressor;0.40634674922600617;0.4806501547987616;0.010503355592501292;0.0;3415888
BaggingRegressor;0.37770897832817335;0.4458204334365325;0.009780536561270177;0.0;3450414
RadiusNeighborsRegressor;0.6222910216718266;1.13312693498452;0.072388768422601;0.0;3455092
MLPRegressor;0.608359133126935;0.7461300309597523;0.01631505183134641;1.0;3515336
LinearRegression;0.5479876160990712;0.6532507739938079;0.014099107346091046;0.0;3579516
ExtraTreesRegressor;0.4024767801857585;0.4860681114551084;0.010674050060292914;0.0;3584624
HuberRegressor;0.4922600619195047;0.5882352941176471;0.012638922508693421;0.0;3620413
LinearRegression;0.4953560371517028;0.5835913312693498;0.012576374815440841;0.0;3659455
ExtraTreesRegressor;0.3815789473684211;0.4605263157894737;0.010124096588300156;0.0;3697630
ExtraTreesRegressor;0.4140866873065016;0.5007739938080495;0.01112752678929255;0.0;3719899
BaggingRegressor;0.4249226006191951;0.4992260061919505;0.010944374700853474;0.0;3776922
RadiusNeighborsRegressor;0.4945820433436533;0.6617647058823529;0.021135493138334824;0.0;3845708
AdaBoostRegressor;0.5108359133126935;0.5913312693498453;0.012861823500732688;0.0;3901994
ExtraTreesRegressor;0.4055727554179567;0.4938080495356037;0.010749628858450213;0.0;3905919
MLPRegressor;0.4976780185758514;0.5874613003095975;0.012637532373282368;0.0;3994623
LinearRegression;0.4992260061919505;0.5874613003095975;0.01262867908880468;0.0;4062908
KNeighborsRegressor;0.4179566563467492;0.5325077399380805;0.011811031762601551;0.0;4098272
TheilSenRegressor;0.5332817337461301;0.7020123839009288;0.014480331111981937;0.0;411245
BaggingRegressor;0.43962848297213625;0.5371517027863777;0.01178681401783007;0.0;4143191
TheilSenRegressor;0.6199690402476781;1.3026315789473684;0.08905133749716003;0.0;4152712
RadiusNeighborsRegressor;2.737616099071208;15.575077399380806;1.6366289245584666;1.0;4202650
ExtraTreeRegressor;0.5487616099071208;0.8212074303405573;0.01809253586135752;0.0;4216089
LinearRegression;5.695046439628482;33.072755417956664;3.3119751260769155;6.0;4222247
SGDRegressor;0.5495356037151703;0.6439628482972136;0.013918900565532402;1.0;4272066
AdaBoostRegressor;0.5247678018575851;0.6269349845201239;0.013527757483100436;0.0;435002
RandomForestRegressor;0.4102167182662539;0.4798761609907121;0.01056778910742631;0.0;4483891
ExtraTreesRegressor;0.380030959752322;0.4527863777089784;0.00994853903162222;0.0;4500865
RandomForestRegressor;0.42027863777089786;0.4961300309597523;0.01083874357208538;0.0;4512131
TheilSenRegressor;0.5464396284829721;0.8018575851393189;0.016114394467584756;0.0;4513418
MLPRegressor;0.4953560371517028;0.5851393188854489;0.012563991743736343;0.0;4523592
RadiusNeighborsRegressor;0.5928792569659442;1.7523219814241486;0.14833108466980144;0.0;4561855
TheilSenRegressor;0.6277089783281734;0.7701238390092879;0.017163552792710462;1.0;4566156
RandomForestRegressor;0.3885448916408669;0.4767801857585139;0.010447596956732924;0.0;4595006
ExtraTreeRegressor;0.5487616099071208;0.7902476780185759;0.017502089927874127;0.0;4607670
LinearRegression;0.5147058823529411;0.6385448916408669;0.013939966338966143;0.0;4632476
HuberRegressor;0.5030959752321982;0.5975232198142415;0.012839563790477758;0.0;4721321
KNeighborsRegressor;0.3862229102167183;0.4698142414860681;0.010326522008176669;0.0;4728
